url,beds,city,date,size,type,baths,price,neighborhood,price_per_sqft,full_address,latitude,longitude
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vakalapudi-kakinada-165-sq-ft-spid-J78732827,4,Kakinada,2mo ago,165.0,Luxury Villa,6,10000000.0,Vakalapudi,60606.06060606061,"Vakalapudi, Kakinada",17.0144854,82.2826999
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-28800-sq-ft-spid-O80294923,5,Kakinada,4d ago,2304.0,Luxury Villa,5,20000000.0,Sasikanth Nagar,8680.555555555555,"Sasikanth Nagar, Kakinada",16.9883045,82.253725
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-2400-sq-ft-spid-O80266555,4,Kakinada,6d ago,230.0,Luxury Villa,5,20000000.0,Sasikanth Nagar,86956.52173913043,"Sasikanth Nagar, Kakinada",16.9883045,82.253725
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5,Kakinada,1w ago,3150.0,Luxury Villa,5,25000000.0,Ramanayapeta,7936.507936507936,"Ramanayapeta, Kakinada",,
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-atchampeta-kakinada-2600-sq-ft-spid-F79579347,3,Kakinada,19-01-2025,2600.0,Villa,5,16500000.0,Atchampeta,6346.153846153846,"Atchampeta, Kakinada",,
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-kovvada-kakinada-1800-sq-ft-spid-W79454185,3,Kakinada,19-01-2025,1800.0,Villa,2,11600000.0,Kovvada,6444.444444444444,"Kovvada, Kakinada",16.9634069,82.1994891
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-madhavapatnam-kakinada-350-sq-ft-r1-spid-A76438401,2,Kakinada,19-01-2025,350.0,Villa,1,5500000.0,Madhavapatnam,15714.285714285714,"Madhavapatnam, Kakinada",16.990485,82.2092166
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sbi-employees-colony-kakinada-1283-sq-ft-spid-J78764367,3,Kakinada,19-01-2025,1368.0,Villa,3,6900000.0,SBI Employees Colony,5043.859649122807,"SBI Employees Colony, Kakinada",17.0156904,82.2620101
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vakalapudi-kakinada-165-sq-ft-spid-J78732827,4,Kakinada,19-01-2025,165.0,Villa,6,10000000.0,Vakalapudi,60606.06060606061,"Vakalapudi, Kakinada",17.0144854,82.2826999
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-28800-sq-ft-spid-O80294923,5,Kakinada,19-01-2025,2304.0,Villa,4,20000000.0,Sasikanth Nagar,8680.555555555555,"Sasikanth Nagar, Kakinada",16.9883045,82.253725
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-rameswaram-kakinada-1450-sq-ft-spid-G80269003,3,Kakinada,19-01-2025,1450.0,Villa,2,5800000.0,Rameswaram,4000.0,"Rameswaram, Kakinada",16.9709231,82.192988
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-2400-sq-ft-spid-O80266555,4,Kakinada,19-01-2025,230.0,Villa,5,20000000.0,Sasikanth Nagar,86956.52173913043,"Sasikanth Nagar, Kakinada",16.9883045,82.253725
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5,Kakinada,19-01-2025,3150.0,Villa,5,25000000.0,Ramanayapeta,7936.507936507936,"Ramanayapeta, Kakinada",,
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-1422-sq-ft-spid-T80143813,4,Kakinada,19-01-2025,1422.0,Villa,2,8000000.0,Ramanayapeta,5625.879043600563,"Ramanayapeta, Kakinada",,
https://www.99acres.com/residential-land-plot-for-sale-in-thagarapuvalasa-visakhapatnam-167-sq-yard-spid-I76078449,0,Visakhapatnam,2025-02-19T04:38:36.102Z,1503.0,Residential land / Plot,0,4676000.0,Thagarapuvalasa,3111.1111111111113,"Thagarapuvalasa, Visakhapatnam",,
https://www.99acres.com/residential-land-plot-for-sale-in-bheemili-visakhapatnam-140-sq-yard-spid-I76618949,0,Visakhapatnam,2025-02-19T04:38:36.102Z,1260.0,Residential land / Plot,0,3780000.0,Bheemili,3000.0,"Bheemili, Visakhapatnam",17.8898601,83.4382376
https://www.99acres.com/rudra-seniors-madhurawada-visakhapatnam-npxid-r408482,2,Visakhapatnam,2025-02-19T04:38:36.102Z,1120.0,2 BHK Apartment,2,4940000.0,Madhurawada,4410.714285714285,"Madhurawada, Visakhapatnam",17.8102465,83.3540167
https://www.99acres.com/vk-erica-madhurawada-visakhapatnam-npxid-r438076,3,Visakhapatnam,2025-02-19T04:38:36.102Z,1920.0,3 BHK Apartment,3,9454000.0,Madhurawada,4923.958333333333,"Madhurawada, Visakhapatnam",17.8102465,83.3540167
https://www.99acres.com/the-celest-gajuwaka-visakhapatnam-npxid-r377188,2,Visakhapatnam,2025-02-19T04:38:36.102Z,970.0,"2, 3 BHK Apartment",2,7501000.0,Gajuwaka,7732.98969072165,"Gajuwaka, Visakhapatnam",17.6813983,83.2130062
https://www.99acres.com/edara-twilight-park-shivaji-palem-visakhapatnam-npxid-r439018,3,Visakhapatnam,2025-02-19T04:38:36.102Z,2420.0,3 BHK Apartment,3,18700000.0,Shivaji Palem,7727.272727272727,"Shivaji Palem, Visakhapatnam",,
https://www.99acres.com/mvv-and-mk-park-gajuwaka-visakhapatnam-npxid-r331705,2,Visakhapatnam,2025-02-19T04:38:36.102Z,970.0,2 BHK Apartment,2,3133000.0,Gajuwaka,3229.896907216495,"Gajuwaka, Visakhapatnam",17.6813983,83.2130062
https://www.99acres.com/mvv-towers-yendada-visakhapatnam-npxid-r385012,2,Visakhapatnam,2025-02-19T04:38:36.102Z,1330.0,"2, 3 BHK Apartment",2,6947000.0,Yendada,5223.308270676692,"Yendada, Visakhapatnam",17.7831798,83.3575511
https://www.99acres.com/rs-aurora-bay-bheemili-visakhapatnam-npxid-r411360,3,Visakhapatnam,2025-02-19T04:38:36.102Z,4860.0,"3, 4, 5, 6 BHK Villa",3,29800000.0,Bheemili,6131.6872427983535,"Bheemili, Visakhapatnam",17.8898601,83.4382376
https://www.99acres.com/residential-land-plot-for-sale-in-vennala-kochi-339-sq-yard-spid-D78423293,0,Kochi,3mo ago,3049.0,Residential land / Plot,0,12000000.0,Vennala,3935.716628402755,"Vennala, Kochi",9.9983003,76.3251702
https://www.99acres.com/residential-land-plot-for-sale-in-vennala-kochi-1162-sq-yard-spid-O79520349,0,Kochi,1mo ago,10454.0,Residential land / Plot,0,39600000.0,Vennala,3788.023722976851,"Vennala, Kochi",9.9983003,76.3251702
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-nagpal-sapphire-heights-vennala-kochi-1388-sq-ft-spid-D80169371,3,Kochi,1w ago,1388.0,3 BHK Flat,2,7500000.0,Nagpal Sapphire Heights,5403.458213256484,"Nagpal Sapphire Heights, Kochi",,
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vennala-kochi-1375-sq-ft-spid-J79757557,3,Kochi,4w ago,1375.0,3 Bedroom House,3,7000000.0,Vennala,5090.909090909091,"Vennala, Kochi",9.9983003,76.3251702
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vennala-kochi-1350-sq-ft-r1-spid-J51800632,3,Kochi,1mo ago,1350.0,3 BHK Flat,3,5000000.0,sheetal apartments,3703.703703703704,"sheetal apartments, Kochi",,
https://www.99acres.com/residential-land-plot-for-sale-in-chalikavattom-kochi-104-sq-yard-spid-G78545131,0,Kochi,3mo ago,940.0,Residential land / Plot,0,1500000.0,Chalikavattom,1595.7446808510638,"Chalikavattom, Kochi",9.9877819,76.3157344
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chalikavattom-kochi-1375-sq-ft-spid-B78323137,3,Kochi,3mo ago,1375.0,3 Bedroom House,3,7000000.0,Chalikavattom,5090.909090909091,"Chalikavattom, Kochi",9.9877819,76.3157344
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chalikavattom-kochi-1000-sq-ft-r5-spid-P60024418,2,Kochi,2w ago,1000.0,2 BHK Flat,2,8000000.0,good earth hamlet,8000.0,"good earth hamlet, Kochi",,
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chakkaraparambu-kochi-1000-sq-ft-r2-spid-R63177728,3,Kochi,2mo ago,1000.0,3 Bedroom House,3,7500000.0,Chakkaraparambu,7500.0,"Chakkaraparambu, Kochi",9.989384,76.3155185
https://www.99acres.com/residential-land-plot-for-sale-in-chakkaraparambu-kochi-3975-sq-yard-r1-spid-Q55098104,0,Kochi,2mo ago,35790.0,Residential land / Plot,0,35000000.0,Chakkaraparambu,977.9267951941883,"Chakkaraparambu, Kochi",9.989384,76.3155185
https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-noida-3226-sq-ft-r8-spid-U66608396,9,Noida,1mo ago,3229.0,Independent House/Villa,9,55000000.0,Sector 39,17033.137194177765,"Sector 39, Noida",28.5686223,77.3521097
